Идентификатор;Номер заказа;Ид. реактива;Ид. заказчика;Вес в граммах;Дата заказа;Ид. магазина;Стоимость партии
48;VU717207QH;945;82;907.177;2013-09-01;3;5504750.036
49;AG194756UZ;1544;66;887.755;2020-02-12;3;59399687.05
50;GF397941AZ;750;49;837.147;2019-05-04;8;65760408.291
51;WI126658IE;381;91;242.54;2018-12-25;2;24168625.919999998
52;WI126658IE;1564;91;428.553;2018-12-25;2;18548202.393
53;ZD297018WA;1025;56;687.178;2011-04-10;8;19477373.232
54;KR277426ZV;166;61;187.265;2021-03-27;2;14313413.01
55;KR277426ZV;1087;61;907.873;2021-03-27;2;64299197.352000006
56;KR277426ZV;67;61;876.029;2021-03-27;2;84040966.086
57;OG073388WY;1035;14;772.813;2013-01-09;4;29961187.197
58;HQ603603RY;649;22;564.366;2019-02-28;3;36175860.6
59;OH001952ES;968;0;80.385;2012-04-30;0;7343973.600000001
60;OH001952ES;396;0;222.238;2012-04-30;0;14357685.99
61;OH001952ES;1206;0;435.068;2012-04-30;0;23654212.092
62;DE082111NU;1879;43;419.2;2014-01-28;3;25698217.599999998
63;DE082111NU;1054;43;896.969;2014-01-28;3;72577349.66600001
64;DE082111NU;1118;43;305.288;2014-01-28;3;9448053.024
65;JJ468494EI;1616;47;10.474;2014-06-17;6;655326.758
66;JJ468494EI;241;47;834.344;2014-06-17;6;13655708.248000002
67;JJ468494EI;548;47;55.387;2014-06-17;6;3911873.036
68;AT447342DT;717;34;554.696;2017-08-19;7;17988791.28
69;AT447342DT;1017;34;200.524;2017-08-19;7;13547000.392
70;AT447342DT;1660;34;867.637;2017-08-19;7;63768716.588999994
71;BR613341YN;1164;80;899.502;2012-07-30;3;44264493.419999994
72;BR613341YN;357;80;313.025;2012-07-30;3;9647430.5
73;BR613341YN;1055;80;746.315;2012-07-30;3;15036008.305000002
74;CE947049WB;467;64;154.596;2012-05-07;0;10893143.352
75;CE947049WB;253;64;621.116;2012-05-07;0;13991259.015999999
76;NA679986LO;1747;5;700.929;2018-03-25;7;58877335.070999995
77;NA679986LO;859;5;113.911;2018-03-25;7;10813001.675
78;NA679986LO;756;5;655.985;2018-03-25;7;9827967.27
79;JJ224930DB;280;13;459.832;2014-08-20;4;37535166.496
80;EN393170YQ;1885;30;521.803;2020-09-20;0;44812441.64
81;RO582037AJ;799;67;30.543;2020-10-24;8;258363.237
82;RO582037AJ;1456;67;895.852;2020-10-24;8;20212212.824
83;YT515003WG;1185;31;823.718;2011-12-07;6;61614106.4
84;YT515003WG;812;31;764.618;2011-12-07;6;64857957.232
85;YT515003WG;1387;31;153.627;2011-12-07;6;15177886.719
86;FX232153DX;304;82;185.855;2019-10-05;2;17321871.855
87;FX232153DX;1027;82;408.052;2019-10-05;2;32648240.520000003
88;XN009402VR;1776;34;123.17;2021-05-21;8;2278029.15
89;XN009402VR;1894;34;835.328;2021-05-21;8;81876344.57599999
90;XN009402VR;1811;34;673.053;2021-05-21;8;36074967.747
91;PM513706KE;781;63;834.431;2014-08-11;1;44307451.669
92;PM513706KE;232;63;442.619;2014-08-11;1;38840259.869
93;EU464162AG;1440;34;211.227;2015-03-29;2;4260659.817
94;EU464162AG;1786;34;224.407;2015-03-29;2;12935941.515
95;EU464162AG;604;34;602.245;2015-03-29;2;41165854.73
96;SP937301EI;1829;95;671.509;2018-06-04;2;17721794.019
97;SP937301EI;373;95;936.975;2018-06-04;2;82963514.4
98;ZE243909CF;775;63;947.1;2014-08-29;8;58800703.5
99;ZE243909CF;1551;63;731.834;2014-08-29;8;44983640.478
100;HS930921VK;1151;49;404.177;2020-12-25;1;12103080.265
101;WY386007MR;1903;66;227.754;2018-07-20;1;5157489.33
102;MR503590KH;1524;56;787.878;2021-09-19;2;41345473.806
103;MR503590KH;913;56;73.019;2021-09-19;2;2981438.7890000003
104;JO846787JC;1646;53;265.362;2017-12-02;4;21081949.452000003
105;UY152445ZW;1361;12;198.746;2014-01-11;2;15486288.32
106;UY152445ZW;159;12;0.717;2014-01-11;2;20901.267
107;MS620081CK;108;90;138.792;2017-01-22;7;3859111.56
108;MS620081CK;104;90;224.38;2017-01-22;7;14059426.42
109;MS620081CK;1724;90;287.644;2017-01-22;7;12330147.704
110;JZ523717YE;219;23;786.364;2013-04-05;0;50349314.192
111;YA350421XQ;167;76;420.609;2014-04-30;3;26757462.143999998
112;YA350421XQ;1099;76;941.146;2014-04-30;3;93488737.91
113;YA350421XQ;257;76;225.908;2014-04-30;3;13343707.836
114;JP779190OA;775;81;683.566;2012-01-30;2;42439195.11
115;JP779190OA;404;81;344.677;2012-01-30;2;28219050.667000003
116;JP779190OA;1150;81;855.407;2012-01-30;2;9391513.453
117;SK823863NF;1050;80;960.718;2021-06-19;2;35314072.243999995
118;SK823863NF;716;80;86.71;2021-06-19;2;5006288.56
119;SE944704HT;249;66;362.159;2017-09-13;6;30106639.829
120;SE944704HT;353;66;927.72;2017-09-13;6;78266170.08
121;SE944704HT;117;66;565.69;2017-09-13;6;44776060.57000001
122;UA367033NS;205;7;695.495;2011-07-13;8;36455761.415
123;UA367033NS;797;7;850.448;2011-07-13;8;33170023.344
124;UA367033NS;957;7;204.459;2011-07-13;8;6015388.239
125;XS170057PK;797;37;537.341;2021-06-27;1;20957911.023000002
126;NT887200NE;1695;80;372.753;2021-01-27;2;6423279.6959999995
127;NT887200NE;608;80;66.884;2021-01-27;2;1770887.668
128;OO252153MC;1503;42;32.743;2015-08-10;5;550900.9750000001
129;NN010820SX;425;57;221.146;2018-01-21;3;18942702.922
130;NN010820SX;680;57;567.224;2018-01-21;3;41903673.0
131;NN010820SX;1324;57;684.108;2018-01-21;3;68310920.232
132;EU776062HY;1146;73;303.359;2020-09-04;5;13082356.875
133;EU776062HY;74;73;483.976;2020-09-04;5;43830802.464
134;WD643035NM;949;42;522.528;2017-11-16;8;44256031.488
135;XL994931GE;376;6;661.077;2018-06-03;7;34284114.297
136;OO288866AT;1459;90;795.093;2014-06-10;4;41132546.169
137;OO288866AT;955;90;176.274;2014-06-10;4;10994209.38
138;OO288866AT;106;90;903.377;2014-06-10;4;59413298.536
139;ZJ533714VG;372;33;359.507;2012-07-05;1;12774362.231
140;ZJ533714VG;1368;33;173.831;2012-07-05;1;6931337.294
141;ZJ533714VG;238;33;620.786;2012-07-05;1;33856426.86799999
142;UK292259DR;1036;86;824.491;2018-12-05;2;1107291.413
143;UK292259DR;250;86;40.15;2018-12-05;2;546401.35
144;UK292259DR;278;86;209.418;2018-12-05;2;17742521.214
145;XG887815YE;1457;58;113.905;2013-11-27;7;4186578.275
146;XG887815YE;1167;58;866.084;2013-11-27;7;69166334.324
147;CK458156VL;1880;85;857.725;2019-08-17;8;30352314.575
148;XR273469DW;1754;89;369.532;2013-11-05;2;19987616.347999997
149;HO962670IX;303;98;967.715;2019-01-03;4;88646564.86
150;HO962670IX;122;98;922.79;2019-01-03;4;46959860.309999995
151;HO962670IX;1664;98;858.897;2019-01-03;4;17314504.623
152;UA664201AQ;315;15;506.332;2011-08-09;8;9297268.184
153;UA664201AQ;1584;15;661.116;2011-08-09;8;64516988.208
154;XW194695RS;255;42;765.356;2020-11-06;3;908477.572
155;XW194695RS;1468;42;126.73;2020-11-06;3;9936899.3
156;QQ686262SF;1669;52;587.113;2021-04-28;6;2921474.288
157;DT585753AI;730;88;319.437;2017-01-28;1;21137465.727
158;DT585753AI;1094;88;417.696;2017-01-28;1;13567601.472000001
159;DT585753AI;1697;88;856.482;2017-01-28;1;45713013.786
160;WO316651WW;175;54;999.091;2016-05-23;0;90184947.297
161;BR207507UX;368;21;163.464;2014-01-20;8;6813833.376
162;BR207507UX;8;21;295.357;2014-01-20;8;59071.40000000001
163;ZO007188WZ;1149;56;494.038;2018-03-13;2;11060028.706
164;ZO007188WZ;290;56;83.917;2018-03-13;2;4919634.125
165;YD560743PM;76;0;227.423;2017-01-05;0;14762936.622
166;UB950432FQ;463;51;353.718;2017-08-27;8;25225399.17
167;TL147512HZ;1360;25;993.14;2016-07-07;1;25403528.06
168;TL147512HZ;500;25;318.979;2016-07-07;1;4285163.886
169;JA484002LQ;81;34;765.207;2015-04-01;3;2442540.744
170;JA484002LQ;995;34;995.453;2015-04-01;3;72020029.097
171;JA484002LQ;230;34;766.948;2015-04-01;3;30496153.324
172;MI879250NF;1058;30;7.657;2019-10-28;7;569359.206
173;MI879250NF;682;30;182.466;2019-10-28;7;4705250.742000001
174;AN633747ND;891;32;321.77;2017-12-07;5;26429222.49
175;AN633747ND;1652;32;448.116;2017-12-07;5;2561879.172
176;MM398533ZV;140;44;667.872;2012-12-04;6;65078783.423999995
177;MM398533ZV;1170;44;796.557;2012-12-04;6;44741013.576
178;UI859446JA;1939;1;39.634;2014-07-18;3;2559444.818
179;QA821682PG;1440;16;484.782;2013-07-29;5;9778537.722
180;QA821682PG;500;16;72.894;2013-07-29;5;979257.996
181;QA821682PG;91;16;505.499;2013-07-29;5;7815014.54
182;EI761440SL;1926;73;448.721;2021-01-31;8;29108979.991
183;HW690518UA;308;23;662.488;2022-08-27;7;28439284.864000004
184;HW690518UA;464;23;276.213;2022-08-27;7;20555495.247
185;HW690518UA;1548;23;158.007;2022-08-27;7;6783240.51
186;GS239975QO;422;12;63.915;2012-02-03;0;4614663.0
187;GS239975QO;1714;12;751.21;2012-02-03;0;62497667.160000004
188;OV138213QZ;597;92;282.811;2018-09-09;1;11390778.647
189;OV138213QZ;420;92;348.442;2018-09-09;1;19411355.378
190;BJ947329YX;977;72;756.219;2020-04-10;1;12563066.247000001
191;IX827928XS;1605;98;906.368;2012-01-03;7;20182096.256
192;FQ164595WP;1536;4;500.345;2018-08-12;8;22963333.775000002
193;FQ164595WP;1157;4;270.015;2018-08-12;8;26149062.645
194;MR356653QG;1004;59;686.896;2013-05-07;1;63422481.471999995
195;MR356653QG;1745;59;483.963;2013-05-07;1;4134495.909
196;FE823668NI;134;22;119.652;2015-12-25;3;9915920.196
197;FE823668NI;243;22;762.263;2015-12-25;3;982557.0070000001
198;AM623984ZZ;1075;96;48.052;2012-01-13;0;3104159.2
199;AM623984ZZ;1406;96;487.326;2012-01-13;0;11266489.794
200;ER361967KO;122;0;940.428;2021-09-25;0;47857440.492
201;ER361967KO;1493;0;991.87;2021-09-25;0;87081226.65
202;UX873191HA;163;41;970.055;2014-07-11;3;24196081.865
203;UX873191HA;1685;41;690.563;2014-07-11;3;19728003.783999998
204;SS536706JD;706;96;568.573;2013-05-17;4;41617269.308
205;SS536706JD;1683;96;578.693;2013-05-17;4;27056791.215
206;KZ545168QA;1230;56;255.382;2016-03-27;5;18650036.696
207;BM522899WJ;1614;70;322.171;2019-04-19;2;25705379.748
208;VQ892785HP;1634;24;899.696;2011-05-01;0;2843939.056
209;VQ892785HP;883;24;274.547;2011-05-01;0;1335945.702
210;IL933216OJ;355;0;283.322;2021-11-19;5;2829536.8140000002
211;IL933216OJ;1544;0;904.039;2021-11-19;5;60489249.49
212;IL933216OJ;151;0;264.273;2021-11-19;5;5484193.296
213;AH599132WL;1487;62;274.54;2016-06-24;8;3985222.64
214;AH599132WL;856;62;138.531;2016-06-24;8;732136.3350000001
215;IL036861UH;447;57;227.681;2012-09-07;0;21059581.776
216;BC808669WV;1214;26;201.74;2015-12-05;1;1919152.62
217;BC808669WV;1295;26;550.719;2015-12-05;1;1422507.1770000001
218;UM026029ZB;1146;78;121.956;2016-09-01;3;5259352.5
219;UM026029ZB;1689;78;888.858;2016-09-01;3;80409650.11199999
220;JR226169LE;1253;66;665.54;2011-09-02;1;60379785.419999994
221;JR226169LE;78;66;694.204;2011-09-02;1;35457163.504
222;HX292566XU;1771;94;917.158;2019-03-25;3;32531594.26
223;HX292566XU;1103;94;427.559;2019-03-25;3;6970066.818
224;HX292566XU;207;94;793.053;2019-03-25;3;16065667.674
225;NY863064DK;516;55;139.862;2019-05-24;5;5912386.325999999
226;NY863064DK;117;55;49.321;2019-05-24;5;3903905.113
227;RO451275TI;1602;8;265.302;2019-09-07;1;12389338.098000001
228;RO451275TI;109;8;304.64;2019-09-07;1;23843563.52
229;DS167888EL;607;40;201.314;2019-12-16;2;3812685.846
230;DS167888EL;1118;40;300.356;2019-12-16;2;9295417.488
231;DG776907PR;1338;46;30.848;2021-07-31;5;207360.256
232;XH436715LI;1976;59;543.811;2019-10-30;0;26317733.345000003
233;LR145640KP;805;55;36.066;2019-10-30;0;3326727.8400000003
234;ZM192325WF;755;22;758.77;2021-08-14;5;13101681.59
235;BH325432NS;1730;70;274.438;2012-11-09;3;27141918.2
236;QP442605PH;1976;40;798.62;2016-08-13;0;38649214.9
237;DO395995RT;23;59;451.71;2019-07-01;4;9606516.57
238;DO395995RT;1114;59;954.513;2019-07-01;4;72110593.611
239;DO395995RT;776;59;155.826;2019-07-01;4;4028569.5779999997
240;RZ868929HU;1226;71;454.73;2021-11-09;6;11585610.940000001
241;RZ868929HU;1258;71;16.779;2021-11-09;6;321015.828
242;ZI857686YE;1201;20;831.125;2011-06-11;8;42797950.75
243;RA682632BZ;375;22;487.357;2022-04-06;4;47841887.262
244;RA682632BZ;16;22;322.983;2022-04-06;4;14745465.882
245;CT914949HC;781;92;477.764;2021-12-21;2;25368790.636
246;CT914949HC;764;92;959.712;2021-12-21;2;15268058.208
247;YU204444SQ;710;38;843.062;2017-10-15;3;18358518.112
248;YU204444SQ;1626;38;63.248;2017-10-15;3;5053325.456
249;YU204444SQ;1089;38;605.028;2017-10-15;3;20203094.976
250;CG714931HO;315;28;675.854;2018-04-19;2;12410031.148
251;FU850315DO;1013;8;403.475;2021-12-27;1;14956414.775
252;FU850315DO;60;8;323.704;2021-12-27;1;19216040.552
253;WM409332FP;1609;10;568.109;2012-02-12;5;33069056.781000003
254;WM409332FP;1602;10;559.25;2012-02-12;5;26116415.75
255;WM409332FP;1061;10;104.107;2012-02-12;5;4541563.768
256;UE066057MT;1656;63;450.835;2021-08-28;6;5344198.09
257;KY644059TT;1569;68;26.333;2020-06-18;7;1597544.1109999998
258;KY644059TT;1798;68;129.343;2020-06-18;7;3496399.976
259;QR026204EA;521;43;589.148;2013-08-30;1;17461168.424000002
260;QR026204EA;1007;43;984.178;2013-08-30;1;83138436.55
261;GA921748JO;986;81;848.33;2012-10-19;8;37600530.59
262;VJ397551TB;901;84;106.3;2016-11-11;5;6158171.6
263;VJ397551TB;1691;84;580.281;2016-11-11;5;50362007.709
264;VY232398UX;241;88;605.493;2017-03-12;4;9910103.931000002
265;VY232398UX;657;88;327.858;2017-03-12;4;12389425.962
266;DR764864IN;402;15;297.334;2021-01-22;7;26499892.75
267;DR764864IN;1298;15;322.188;2021-01-22;7;29245004.759999998
268;GX832680YN;713;39;475.547;2012-08-19;4;10400212.89
269;GX832680YN;895;39;225.963;2012-08-19;4;3747144.429
270;YK586195ZF;1518;32;966.065;2015-05-04;8;43572429.695
271;YK586195ZF;1559;32;581.05;2015-05-04;8;18568033.799999997
272;RA134613SK;1516;48;334.956;2016-08-14;6;23017171.452
273;RA134613SK;1319;48;26.48;2016-08-14;6;908661.2000000001
274;RA134613SK;1075;48;554.434;2016-08-14;6;35816436.4
275;BY370430FT;1520;38;720.525;2017-10-29;5;28545759.45
276;OS500111RG;1942;67;476.771;2011-01-21;8;35802641.474
277;OS500111RG;1989;67;57.973;2011-01-21;8;3488409.329
278;OS500111RG;1021;67;12.976;2011-01-21;8;314395.504
279;NQ163182RB;646;46;475.187;2013-09-22;5;14621028.803000001
280;NQ163182RB;1132;46;19.778;2013-09-22;5;1497115.488
281;NQ163182RB;923;46;745.735;2013-09-22;5;3250658.865
282;AW559589CD;1728;17;387.363;2012-02-16;5;9164233.854
283;LF922493KT;1853;27;563.43;2020-03-14;1;18028633.139999997
284;WQ817496UY;1990;90;740.286;2018-01-09;2;13953650.814
285;WQ817496UY;554;90;833.257;2018-01-09;2;68116259.979
286;WQ817496UY;743;90;596.584;2018-01-09;2;32634934.551999997
287;FG322624CC;117;74;434.88;2016-07-09;1;34422056.64
288;ZV954154SU;577;8;641.497;2022-12-20;7;42792340.379
289;ER482444XN;281;98;25.07;2013-06-22;3;1766733.04
290;ER482444XN;1333;98;680.231;2013-06-22;3;29271020.161
291;ER482444XN;1760;98;491.374;2013-06-22;3;33523499.776
292;MI277542UI;378;65;639.576;2019-04-11;3;47347811.28
293;ZL678974UP;1438;49;662.415;2011-07-29;3;63163257.495
294;ZH821145JO;1066;41;737.637;2016-03-28;8;22048707.566999998
295;ZH821145JO;935;41;205.557;2016-03-28;8;12210702.470999999
296;HW126606NF;1174;76;735.651;2014-10-03;4;27386079.777
297;HW126606NF;299;76;649.812;2014-10-03;4;55213226.016
298;HW126606NF;1737;76;572.813;2014-10-03;4;38431169.796
299;PP724467OB;189;94;966.364;2019-05-25;0;31562414.604000002
300;PP724467OB;540;94;223.103;2019-05-25;0;12684297.962000001
301;PP724467OB;1086;94;301.765;2019-05-25;0;2750889.7399999998
302;KZ864975ND;131;40;216.996;2021-03-04;4;14127307.584
303;KZ864975ND;991;40;346.086;2021-03-04;4;34323425.136
304;IY360829DN;575;44;528.585;2014-10-23;5;52160767.800000004
305;IY360829DN;1310;44;599.059;2014-10-23;5;24934033.698
306;EC065559VW;1288;61;818.372;2016-03-23;1;41857272.684
307;EC065559VW;103;61;52.792;2016-03-23;1;4130604.4560000002
308;EC065559VW;1268;61;873.396;2016-03-23;1;14401426.644
309;SR129431SM;1588;44;704.493;2015-01-16;5;14733062.109000001
310;SR129431SM;1692;44;22.729;2015-01-16;5;1619123.044
311;SR129431SM;409;44;44.518;2015-01-16;5;2064433.214
312;OI395655KS;904;26;398.302;2021-02-12;8;38955130.506000005
313;OI395655KS;478;26;521.845;2021-02-12;8;38075898.580000006
314;OI395655KS;1749;26;676.539;2021-02-12;8;19384871.967
315;KW896375JE;1916;10;171.233;2021-09-11;8;9563020.584
316;KW896375JE;1437;10;244.991;2021-09-11;8;14619837.925
317;KW896375JE;1817;10;464.851;2021-09-11;8;7853657.645
318;XY838180AR;652;58;103.875;2022-02-19;2;7661716.125
319;VS054769KS;621;9;77.887;2013-12-20;2;109664.89600000001
320;VS054769KS;40;9;449.871;2013-12-20;2;23713600.152
321;VS054769KS;845;9;568.8;2013-12-20;2;53300541.599999994
322;WF237909JL;1668;64;358.125;2011-11-12;2;21064196.25
323;WF237909JL;1256;64;30.027;2011-11-12;2;2145879.555
324;ZY656083DH;207;54;949.993;2022-02-17;3;19244958.194000002
325;ZY656083DH;1436;54;414.547;2022-02-17;3;11738727.399
326;ZY656083DH;55;54;92.68;2022-02-17;3;68675.88
327;IV141988VD;1025;0;775.574;2015-01-04;4;21982869.456
328;PM855484PX;120;78;39.915;2021-05-14;1;270344.295
329;PM855484PX;150;78;486.004;2021-05-14;1;40291189.612
330;PM855484PX;325;78;829.951;2021-05-14;1;77136475.891
331;MZ012923NM;937;83;870.251;2021-06-24;3;61964481.953
332;MZ012923NM;546;83;782.228;2021-06-24;3;18298659.604
333;YP591955MR;1753;84;351.814;2019-05-26;5;25509329.512000002
334;YP591955MR;1426;84;901.379;2019-05-26;5;9106632.037
335;YP591955MR;524;84;987.721;2019-05-26;5;66741295.691
336;VQ054004FI;260;8;73.122;2012-05-14;8;4976098.344
337;RL628682IW;159;54;218.015;2019-03-14;7;6355355.265
338;RL628682IW;1092;54;293.734;2019-03-14;7;2465603.196
339;ID378707IY;124;30;573.398;2012-04-25;1;4932369.596
340;ID378707IY;897;30;201.303;2012-04-25;1;9650063.214
341;ID378707IY;1412;30;700.134;2012-04-25;1;15259420.530000001
342;SZ197165LJ;1693;23;692.701;2022-12-14;1;26582400.875
343;FC922760II;115;24;888.04;2017-04-10;6;65419242.68
344;FC922760II;1902;24;9.286;2017-04-10;6;519022.398
345;JI568154OX;61;73;656.713;2019-09-25;8;46492653.548
346;JI568154OX;1116;73;58.123;2019-09-25;8;1637848.017
347;FX115637YS;527;88;71.635;2014-08-14;0;1148094.145
348;FX115637YS;1036;88;523.933;2014-08-14;0;703642.019
349;RC214249YZ;1802;65;754.153;2021-10-05;2;39382623.813
350;RC214249YZ;1785;65;811.407;2021-10-05;2;26328534.336000003
351;QR113489ZP;1778;90;624.755;2016-09-19;3;15226528.86
352;XD056292GX;1223;13;650.883;2017-12-13;2;7116103.839000001
353;XD056292GX;539;13;943.654;2017-12-13;2;47752667.016
354;XD056292GX;50;13;988.674;2017-12-13;2;44931278.604
355;BU672985ID;1312;37;254.69;2012-09-10;1;13269603.69
356;XY388633XK;825;18;17.656;2016-11-06;1;377891.36799999996
357;IJ446286TW;1048;41;278.574;2015-01-04;1;12737517.576000001
358;TB931495CE;1810;12;54.966;2017-01-03;8;3935180.838
359;TB931495CE;490;12;285.683;2017-01-03;8;24839279.801
360;OV797571DI;827;22;239.634;2021-12-04;8;7047635.9399999995
361;OV797571DI;1220;22;794.084;2021-12-04;8;44830806.304
362;OV797571DI;724;22;226.447;2021-12-04;8;10092969.237
363;CG206884FB;1365;24;663.224;2012-06-28;3;53450548.608
364;CG206884FB;1704;24;868.484;2012-06-28;3;83265903.5
365;CG206884FB;930;24;168.226;2012-06-28;3;15121835.14
366;UW124827WH;449;95;841.393;2018-12-03;6;33850923.176
367;UW124827WH;1391;95;312.015;2018-12-03;6;26427670.5
368;LV803952WE;1792;43;889.973;2014-07-31;8;50026272.302999996
369;LV803952WE;697;43;789.29;2014-07-31;8;64035886.989999995
370;SJ360749NC;1362;8;329.776;2015-10-06;0;24522802.912
371;WV819057VI;934;17;781.357;2012-03-12;3;1565058.071
372;WV819057VI;1766;17;791.293;2012-03-12;3;13290557.228
373;WV819057VI;1714;17;769.884;2012-03-12;3;64051269.264
374;FZ980612NF;970;38;389.034;2011-01-09;7;36071232.48
375;FZ980612NF;1126;38;165.231;2011-01-09;7;8017173.351
376;FZ980612NF;1135;38;773.446;2011-01-09;7;57739290.792
377;BK973026DG;1440;46;237.663;2013-06-13;4;4793900.373000001
378;BK973026DG;588;46;282.168;2013-06-13;4;9117412.416000001
379;BK973026DG;392;46;957.918;2013-06-13;4;8921090.334
380;FU195914DZ;1258;1;906.22;2021-03-06;0;17337801.04
381;FU195914DZ;332;1;487.122;2021-03-06;0;34479956.526
382;SX675042MX;323;11;812.359;2019-10-05;7;21628246.016000003
383;SX675042MX;57;11;75.134;2019-10-05;7;4586254.494
384;SX675042MX;145;11;575.533;2019-10-05;7;40067456.394
385;IT263685KF;1405;36;389.412;2022-09-19;5;11110313.772
386;IT263685KF;1662;36;628.117;2022-09-19;5;5914349.671999999
387;IT263685KF;503;36;416.556;2022-09-19;5;33554002.356
388;DD258611BL;197;74;159.74;2014-04-01;8;3732005.62
389;DD258611BL;1146;74;844.602;2014-04-01;8;36423461.25
390;DD258611BL;1042;74;709.856;2014-04-01;8;62832193.984
391;EC081166YU;847;73;281.325;2011-10-30;4;21416146.95
392;AO435846HE;265;52;250.119;2022-07-28;2;14786535.042
393;AO435846HE;820;52;474.76;2022-07-28;2;9644274.64
394;HB407988QG;826;79;833.416;2019-02-03;2;46837979.2
395;HB407988QG;1689;79;325.269;2019-02-03;2;29425134.816
396;HB407988QG;1753;79;930.799;2019-02-03;2;67490373.892
397;GZ893975LY;1558;2;945.582;2021-03-29;5;68584953.624
398;GZ893975LY;873;2;335.199;2021-03-29;5;7065324.522
399;GZ893975LY;354;2;329.351;2021-03-29;5;5520910.813
400;RW125875TK;1726;79;984.31;2016-03-14;6;17665411.57
401;YE748027DB;577;6;947.492;2015-10-06;4;63204348.844
402;OU195172AT;1966;76;458.547;2011-08-23;7;37142307.0
403;OU195172AT;1610;76;876.766;2011-08-23;7;76531150.608
404;KJ247401ZL;236;16;858.368;2016-08-08;4;71187891.712
405;KJ247401ZL;148;16;178.258;2016-08-08;4;15731446.758000001
406;VS203617GQ;1221;34;600.807;2014-02-27;4;24612058.755
407;AK114685SV;440;12;733.304;2016-10-25;3;54762409.416
408;AK114685SV;1167;12;162.618;2016-10-25;3;12986836.098
409;AK114685SV;641;12;514.922;2016-10-25;3;24478876.958
410;NJ573964YK;77;67;448.887;2012-04-16;6;360905.148
411;NJ573964YK;132;67;428.545;2012-04-16;6;21701090.255
412;VS015389RV;338;73;781.148;2018-03-24;3;45380793.06
413;HW415830DY;279;40;217.851;2022-10-27;8;15217328.052
414;ZM697257DB;1118;26;263.446;2013-08-01;8;8153126.808000001
415;ZM697257DB;1975;26;53.635;2013-08-01;8;4676596.555
416;WF933969EL;0;60;564.427;2011-03-18;3;27898497.756
